row_title,obj_title,obj_cost,obj_reqs
Tier 1 - Mover,(Mover/Striker) Flying Raijin,8 SP,N/A
Tier 1 - Mover,(Mover) Gear Shift,8 SP,N/A
Tier 1 - Mover,(Mover/Trump) Winged One,8 SP,N/A
Tier 1 - Mover,(Mover/Master) Seeing Double,9 SP,N/A
Tier 1 - Mover,(Mover/Breaker) On Paper Wings,9 SP,N/A
Tier 1 - Mover,(Mover) Blink!,10 SP,N/A
Tier 1 - Mover,(Mover/Breaker) Speed Connect,10 SP,N/A
Tier 1 - Mover,(Mover) Sadako,10 SP,N/A
Tier 1 - Mover,(Mover/Brute) Glide n’ Slide,10 SP,N/A
Tier 1 - Mover,(Mover) Clock Up,10 SP,N/A
Tier 1 - Mover,(Mover/Shaker) Kid Velocity,10 SP,N/A
Tier 1 - Mover,(Mover/Striker) Quicker than Thunder,11 SP,N/A
Tier 1 - Mover,(Mover/Striker) Raze,11 SP,N/A
Tier 1 - Mover,(Mover/Shaker) Move Cancel,12 SP,N/A
Tier 1 - Mover,(Mover/Striker) Asynchronous Spacetime,12 SP,N/A
Tier 1 - Mover,(Mover/Thinker) I am the Shadow,12 SP,N/A
Tier 1 - Mover,(Mover/Breaker) Veloci…Raptor?,12 SP,N/A
Tier 1 - Mover,(Mover/Stranger) Shadow Diver,12 SP,N/A
Tier 1 - Mover,(Mover/Master) Let The Feathers Fly,13 SP,N/A
Tier 1 - Mover,(Mover/Breaker) I Believe I Can Fly,13 SP,N/A
Tier 1 - Mover,(Mover) Raven,14 SP,N/A
Tier 1 - Mover,(Mover/Striker) Dimensional Shunter,15 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Spider's Web,1 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Target Acquired,2 SP,N/A
Tier 1 - Shaker,(Shaker) Ruckus,2 SP,N/A
Tier 1 - Shaker,(Shaker/Blaster) Bag of Holding,3 SP,N/A
Tier 1 - Shaker,(Shaker) Room Temperature Mirage,3 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Orchestra,3 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) You Can’t Touch The Sky,3 SP,N/A
Tier 1 - Shaker,(Shaker/Mover) Dimensional Mirrors,4 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Mechanicus Aura,4 SP,N/A
Tier 1 - Shaker,(Shaker) Forcefield,4 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Shared Emotions,4 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Influencer,4 SP,N/A
Tier 1 - Shaker,(Shaker) Unbearable Chill,4 SP,N/A
Tier 1 - Shaker,(Shaker/Stranger) The Mist of London Night,4 SP,N/A
Tier 1 - Shaker,(Shaker) Razorwire,4 SP,N/A
Tier 1 - Shaker,(Shaker) Warding,4 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Level 1 Crook,4 SP,N/A
Tier 1 - Shaker,(Shaker) Rub A Dub Dub,4 SP,N/A
Tier 1 - Shaker,(Shaker) Collateral,5 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Peace Zone,5 SP,N/A
Tier 1 - Shaker,(Shaker) Afterimage,5 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Spicy Snap,5 SP,N/A
Tier 1 - Shaker,(Shaker) Gravity Well,5 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Force Construct,5 SP,N/A
Tier 1 - Shaker,(Shaker) Electromagnetic Warping,5 SP,N/A
Tier 1 - Shaker,(Shaker) Beartrap,5 SP,N/A
Tier 1 - Shaker,(Shaker) Area of Attack,6 SP,N/A
Tier 1 - Shaker,(Shaker) Minefield,6 SP,N/A
Tier 1 - Shaker,(Shaker) Loot Drop,6 SP,N/A
Tier 1 - Shaker,(Shaker) Spell Card: Za Warudo!,6 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Agony Exhibition,6 SP,N/A
Tier 1 - Shaker,(Shaker) Why So Serious?,6 SP,N/A
Tier 1 - Shaker,(Shaker) Sandstorm,6 SP,N/A
Tier 1 - Shaker,(Shaker) Healing Circle,7 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Aromatherapy,7 SP,N/A
Tier 1 - Shaker,(Shaker) Flare,7 SP,N/A
Tier 1 - Shaker,(Shaker) Illusion Master,7 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Stormtrooper Aim,7 SP,N/A
Tier 1 - Shaker,(Shaker) Speed Zone,7 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Spontaneous,7 SP,N/A
Tier 1 - Shaker,(Shaker) Bio-telekinesis,7 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Multi-limbs,7 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Stage Change,7 SP,N/A
Tier 1 - Shaker,(Shaker/Changer) Outbreak,7 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Heroes Don't Kill,7 SP,N/A
Tier 1 - Shaker,(Shaker/Brute) Dissipate,7 SP,N/A
Tier 1 - Shaker,(Shaker/Brute) No Place Like Home,7 SP,N/A
Tier 1 - Shaker,(Shaker/Stranger) Cinema Flair,7 SP,N/A
Tier 1 - Shaker,(Shaker/Blaster) Kill Aura,8 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Tentacles,8 SP,N/A
Tier 1 - Shaker,(Shaker) Babel,8 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Judgment,8 SP,N/A
Tier 1 - Shaker,(Shaker) Hotbox,8 SP,N/A
Tier 1 - Shaker,(Shaker) Bedlam,8 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Starvation,8 SP,N/A
Tier 1 - Shaker,(Shaker/Mover) Red Room,8 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Accute Affliction,8 SP,N/A
Tier 1 - Shaker,(Shaker) Fainting Spell,9 SP,N/A
Tier 1 - Shaker,(Shaker) Frenzied Flame,9 SP,N/A
Tier 1 - Shaker,(Shaker) Frozen Space,9 SP,N/A
Tier 1 - Shaker,(Shaker) Gravity,9 SP,N/A
Tier 1 - Shaker,(Shaker/Breaker) Icy Kiss,9 SP,N/A
Tier 1 - Shaker,(Shaker) Impaler,9 SP,N/A
Tier 1 - Shaker,"(Shaker/Brute) Stomach In, Stomach Out",9 SP,N/A
Tier 1 - Shaker,(Shaker) Deaf Note,9 SP,N/A
Tier 1 - Shaker,(Shaker) Inverted Structure,9 SP,N/A
Tier 1 - Shaker,(Shaker) Temporal Tempo,10 SP,N/A
Tier 1 - Shaker,(Shaker/Tinker) Scrapyard,10 SP| 4 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Power Slowdown,10 SP,N/A
Tier 1 - Shaker,(Shaker) Amped Up,10 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Loot Box,10 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Time Magic!,10 SP,N/A
Tier 1 - Shaker,(Shaker) Telekinesis,10 SP,N/A
Tier 1 - Shaker,(Shaker) Wavecrasher,10 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Dirt in Your Eye,10 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Maestro,10 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Depression,10 SP,N/A
Tier 1 - Shaker,(Shaker) Environment Shaping,11 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Black Goo,11 SP,N/A
Tier 1 - Shaker,(Shaker/Brute) The Floor is Lava,11 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Lasso Man!,11 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Energy Vortex,12 SP,N/A
Tier 1 - Shaker,(Shaker) Storm,12 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Emotional High,12 SP,N/A
Tier 1 - Shaker,(Shaker/Breaker) Miracles,12 SP,N/A
Tier 1 - Shaker,(Shaker) Hazardous Disaster,13 SP,N/A
Tier 1 - Shaker,(Shaker) Matter State Master,13 SP,N/A
Tier 1 - Shaker,(Shaker) Edict,13 SP,N/A
Tier 1 - Shaker,(Shaker/Breaker) Lord of Cinder,13 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Parasitic Army,13 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Worst Day Ever,13 SP,N/A
Tier 1 - Shaker,(Shaker/Stranger) Doomsday Went,13 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Infinite Treasury,13 SP,N/A
Tier 1 - Shaker,(Shaker/Thinker) Mycorrizha,13 SP,N/A
Tier 1 - Shaker,(Shaker) Traveler,14 SP,N/A
Tier 1 - Shaker,(Shaker/Breaker) Alexandrite,14 SP,N/A
Tier 1 - Shaker,(Shaker/Brute) Gaia,14 SP,N/A
Tier 1 - Shaker,(Shaker) Deus Ex Machina,14 SP,N/A
Tier 1 - Shaker,(Shaker) Kira,14 SP,N/A
Tier 1 - Shaker,(Shaker/Stranger) Bounded Fields,14 SP,N/A
Tier 1 - Shaker,(Shaker/Mover) Dimensional Warping,15 SP,N/A
Tier 1 - Shaker,(Shaker/Breaker) The One Who Tamed Lightning,15 SP,N/A
Tier 1 - Shaker,(Shaker/Trump) Still Aura,15 SP,N/A
Tier 1 - Shaker,(Shaker/Striker) Holonomic Constraint,15 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Dungeon Core,15 SP,N/A
Tier 1 - Shaker,(Shaker/Master) Tower Defence,15 SP,N/A
Tier 1 - Shaker,(Shaker) Vault of the Modern Era,15 SP,N/A
Tier 1 - Brute,(Brute/Trump) Spartans Die Standing,1 SP,N/A
Tier 1 - Brute,(Brute) Vampire,2 SP,N/A
Tier 1 - Brute,(Brute) Lifesteal,2 SP,N/A
Tier 1 - Brute,(Brute) Scarred Healing,2 SP,N/A
Tier 1 - Brute,"(Brute) No, I am Spartacus",3 SP,N/A
Tier 1 - Brute,"(Brute) No, I am Leonidas",3 SP,N/A
Tier 1 - Brute,(Brute) Immunity Frames,3 SP,N/A
Tier 1 - Brute,(Brute) Biological Redistribution,3 SP,N/A
Tier 1 - Brute,(Brute) Focused Strength,3 SP,N/A
Tier 1 - Brute,(Brute) Greatest Defence is Offence,3 SP,N/A
Tier 1 - Brute,(Brute) Just Won't Die,3 SP,N/A
Tier 1 - Brute,(Brute) Exposure Therapy,3 SP,N/A
Tier 1 - Brute,(Brute/Shaker) Knucklehead,3 SP,N/A
Tier 1 - Brute,(Brute/Striker) Captain America,4 SP,N/A
Tier 1 - Brute,(Brute) Mass = Acceleration,4 SP,N/A
Tier 1 - Brute,(Brute) Distributed Damage,4 SP,N/A
Tier 1 - Brute,(Brute) Airtight,4 SP,N/A
Tier 1 - Brute,(Brute) Atlas,4 SP,N/A
Tier 1 - Brute,(Brute) Man of Steel,4 SP,N/A
Tier 1 - Brute,(Brute/Striker) Hammer,4 SP,N/A
Tier 1 - Brute,(Brute) Do you even lift?,5 SP,N/A
Tier 1 - Brute,(Brute) Pump It,5 SP,N/A
Tier 1 - Brute,(Brute) Rampage,5 SP,N/A
Tier 1 - Brute,(Brute) Blood Bath,5 SP,N/A
Tier 1 - Brute,(Brute) Antaeus,5 SP,N/A
Tier 1 - Brute,(Brute/Shaker) Echohide,5 SP,N/A
Tier 1 - Brute,(Brute/Breaker) Battle Aura,5 SP,N/A
Tier 1 - Brute,(Brute/Mover) Hydrofoil,5 SP,N/A
Tier 1 - Brute,(Brute) Yang it!,6 SP,N/A
Tier 1 - Brute,(Brute/Trump) Life Taker,6 SP,N/A
Tier 1 - Brute,(Brute) Cast Off!,6 SP,N/A
Tier 1 - Brute,(Brute) Fatal Shield,6 SP,N/A
Tier 1 - Brute,(Brute) Sponge,6 SP,N/A
Tier 1 - Brute,(Brute) Skulking Angels,6 SP,N/A
Tier 1 - Brute,(Brute) Restful Night,6 SP,N/A
Tier 1 - Brute,(Brute/Shaker) Defensive Position,6 SP,N/A
Tier 1 - Brute,(Brute/Thinker) Neuromorphic Reflex,6 SP,N/A
Tier 1 - Brute,"(Brute/Trump) No Pain, No Gain",6 SP,N/A
Tier 1 - Brute,(Brute/Thinker) Rinse and Repeat,6 SP,N/A
Tier 1 - Brute,(Brute/Trump) Fame,6 SP,N/A
Tier 1 - Brute,(Brute) Pridwen,7 SP,N/A
Tier 1 - Brute,(Brute) Solidarity,7 SP,N/A
Tier 1 - Brute,(Brute) Bee Proof,7 SP,N/A
Tier 1 - Brute,(Brute) Zombie,7 SP,N/A
Tier 1 - Brute,(Brute/Breaker) Goliath,7 SP,N/A
Tier 1 - Brute,(Brute) Caeneus,7 SP,N/A
Tier 1 - Brute,(Brute/Blaster) Boiling Blood,7 SP,N/A
Tier 1 - Brute,(Brute) High-Speed Regeneration,7 SP,N/A
Tier 1 - Brute,(Brute/Changer) Baa Baa,7 SP,N/A
Tier 1 - Brute,(Brute/Shaker) Relentless Pressure,7 SP,N/A
Tier 1 - Brute,(Brute) Ablation,8 SP,N/A
Tier 1 - Brute,(Brute/Master) Implacable,8 SP,N/A
Tier 1 - Brute,(Brute/Mover) Spider-Man,8 SP,N/A
Tier 1 - Brute,(Brute/Trump) Fa Jin,8 SP,N/A
Tier 1 - Brute,(Brute) Level 100 Mafia Boss,8 SP,N/A
Tier 1 - Brute,(Brute/Breaker) Achilles' Body,8 SP,N/A
Tier 1 - Brute,(Brute/Breaker) Enhanced Physique,8 SP,N/A
Tier 1 - Brute,(Brute/Breaker) Biological Armory,9 SP,N/A
Tier 1 - Brute,(Brute/Trump) Power in Numbers,9 SP,N/A
Tier 1 - Brute,(Brute/Mover) Unyielding Pursuit,9 SP,N/A
Tier 1 - Brute,(Brute/Trump) Starlight Punch,10 SP,N/A
Tier 1 - Brute,(Brute/Trump) Stockpile,10 SP,N/A
Tier 1 - Brute,(Brute) Invulnerable,10 SP,N/A
Tier 1 - Brute,(Brute/Mover) Library Junior,10 SP,N/A
Tier 1 - Brute,(Brute/Trump) Zenkai Boost,10 SP,N/A
Tier 1 - Brute,(Brute/Trump) Overdrive Mode,10 SP,N/A
Tier 1 - Brute,(Brute/Trump) Mang,10 SP,N/A
Tier 1 - Brute,(Brute) Stronk,10 SP,N/A
Tier 1 - Brute,(Brute) Phylactery,11 SP,N/A
Tier 1 - Brute,(Brute/Shaker) Pyrexia,11 SP,N/A
Tier 1 - Brute,(Brute/Changer) Two Good Arms,12 SP,N/A
Tier 1 - Brute,"(Brute) Mine, Mine, Mine!",12 SP,N/A
Tier 1 - Brute,(Brute) Telekinetic Barrier,12 SP,N/A
Tier 1 - Brute,(Brute) Deadpool,12 SP,N/A
Tier 1 - Brute,(Brute/Master) Hydra,13 SP,N/A
Tier 1 - Brute,(Brute/Trump) Numbers? I Don't Know How To Count,13 SP,N/A
Tier 1 - Brute,"(Brute/Changer) Yeah, I Lift",13 SP,N/A
Tier 1 - Brute,(Brute/Blaster) Mantis Shrimp,13 SP,N/A
Tier 1 - Brute,(Brute) Rocky,14 SP,N/A
Tier 1 - Brute,(Brute/Breaker) The Duke,14 SP,N/A
Tier 1 - Brute,(Brute/Trump) Stronger Together,15 SP,N/A
Tier 1 - Brute,(Brute/Striker) Armor,15 SP,N/A
Tier 1 - Brute,(Brute) Unbreakable,15 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Brainless Behavior,1 SP,N/A
Tier 1 - Breaker,(Breaker/Stranger) Untouchable Skin,1 SP,N/A
Tier 1 - Breaker,(Breaker) Immune Response,2 SP,N/A
Tier 1 - Breaker,(Breaker) Phase,2 SP,N/A
Tier 1 - Breaker,(Breaker/Thinker) Porous,2 SP,N/A
Tier 1 - Breaker,(Breaker) Gomu Gomu no Mi,3 SP,N/A
Tier 1 - Breaker,(Breaker) Balancing Act,3 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Bullet,3 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Odd Proportions,3 SP,N/A
Tier 1 - Breaker,(Breaker) Lightshow,4 SP,N/A
Tier 1 - Breaker,(Breaker/Master) Thousand Faces,4 SP,N/A
Tier 1 - Breaker,(Breaker) Flicker,4 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Inverse,4 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Ablative Armor,4 SP,N/A
Tier 1 - Breaker,(Breaker/Striker) Manton’s Ghost,4 SP,N/A
Tier 1 - Breaker,(Breaker) Flaked Skin,4 SP,N/A
Tier 1 - Breaker,(Breaker) All or Nothing Defense,4 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) SETTLE IT IN,4 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Speed Force,5 SP,N/A
Tier 1 - Breaker,(Breaker/Stranger) Thin Existence,5 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Gamer Body,5 SP,N/A
Tier 1 - Breaker,(Breaker) Pulseform,5 SP,N/A
Tier 1 - Breaker,"(Breaker/Brute) “Strip His Skins and Show His Scars,”",5 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Weld,6 SP,N/A
Tier 1 - Breaker,(Breaker) Ant Man,6 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Other Side of the Coin,6 SP,N/A
Tier 1 - Breaker,(Breaker) Superposition,6 SP,N/A
Tier 1 - Breaker,(Breaker) Solstice,6 SP,N/A
Tier 1 - Breaker,(Breaker/Stranger) Ragdoll,6 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Warden,6 SP,N/A
Tier 1 - Breaker,(Breaker/Master) Maggot,6 SP,N/A
Tier 1 - Breaker,(Breaker) Echo Chamber,6 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Mirror World,7 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Puella Magi Homura Magika,7 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) The Flying Brick,7 SP,N/A
Tier 1 - Breaker,(Breaker) Rotom,7 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Cutout,7 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Axis Shift,7 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Sundering,7 SP,N/A
Tier 1 - Breaker,(Breaker/Master) Matryoshka,7 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Moral Support,7 SP,N/A
Tier 1 - Breaker,(Breaker) Null,8 SP,N/A
Tier 1 - Breaker,(Breaker) Redirection,8 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Dark Shadow,8 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Elemental Boost,8 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Shonen Bat,8 SP,N/A
Tier 1 - Breaker,(Breaker) Dimensional Scar,8 SP,N/A
Tier 1 - Breaker,(Breaker/Striker) Digitize,8 SP,N/A
Tier 1 - Breaker,(Breaker) Density,9 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Icarus,9 SP,N/A
Tier 1 - Breaker,(Breaker) Rebirth,10 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Tri-state Area,10 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Armored Core Ignite,10 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Ibis,10 SP,N/A
Tier 1 - Breaker,(Breaker) Wendigo,10 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Inkheart,10 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Custom Avatar,10 SP,N/A
Tier 1 - Breaker,(Breaker) Elemental,12 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Monsoon,12 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Be Not Afraid,13 SP,N/A
Tier 1 - Breaker,(Breaker/Shaker) Bugged Out,13 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Blur,13 SP,N/A
Tier 1 - Breaker,(Breaker/Mover) Fractal,14 SP,N/A
Tier 1 - Breaker,(Breaker) Reconstruction,14 SP,N/A
Tier 1 - Breaker,(Breaker/Brute) Python,14 SP,N/A
Tier 1 - Breaker,(Breaker) Friction,15 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Still Body,15 SP,N/A
Tier 1 - Breaker,(Breaker/Trump) Energy Well,15 SP,N/A
Tier 1 - Master,(Master) Geas,1 SP,N/A
Tier 1 - Master,(Master) Illusionary Clone,1 SP,N/A
Tier 1 - Master,(Master) Peat Critters,1 SP,N/A
Tier 1 - Master,(Master) Mascot,2 SP,N/A
Tier 1 - Master,(Master) Uncanny Valley,2 SP,N/A
Tier 1 - Master,(Master) State the Obvious,2 SP,N/A
Tier 1 - Master,(Master/Thinker) Ahead of the Curve,2 SP,N/A
Tier 1 - Master,(Master) Mirror Image,3 SP,N/A
Tier 1 - Master,(Master/Stranger) Opposite,3 SP,N/A
Tier 1 - Master,(Master/Thinker) Patrol,3 SP,N/A
Tier 1 - Master,(Master) Recite,3 SP,N/A
Tier 1 - Master,(Master) Papillon,3 SP,N/A
Tier 1 - Master,(Master) Seed of Doubt,3 SP,N/A
Tier 1 - Master,(Master/Thinker) Confetti,4 SP,N/A
Tier 1 - Master,(Master) Animate Objects,4 SP,N/A
Tier 1 - Master,(Master/Thinker) Fear,4 SP,N/A
Tier 1 - Master,(Master) Gold Digger,4 SP,N/A
Tier 1 - Master,(Master/Trump) Piracy,4 SP,N/A
Tier 1 - Master,(Master) Green Thumb,4 SP,N/A
Tier 1 - Master,(Master) Sleep Walker,4 SP,N/A
Tier 1 - Master,(Master/Stranger) Incrimination,4 SP,N/A
Tier 1 - Master,(Master/Thinker) Rodent King,5 SP,N/A
Tier 1 - Master,(Master) Bacchus,5 SP,N/A
Tier 1 - Master,(Master) Inverse Cannibalism,5 SP,N/A
Tier 1 - Master,(Master/Stranger) Ghostfreak,5 SP,N/A
Tier 1 - Master,(Master/Stranger) Reversed Controls,5 SP,N/A
Tier 1 - Master,(Master) Puppeteer,5 SP,N/A
Tier 1 - Master,(Master) Play Along,5 SP,N/A
Tier 1 - Master,(Master) Monologue,5 SP,N/A
Tier 1 - Master,(Master) Heavy Gaze,5 SP,N/A
Tier 1 - Master,(Master/Mover) Rodeo,5 SP,N/A
Tier 1 - Master,(Master/Brute) Ghost Copies,5 SP,N/A
Tier 1 - Master,(Master) Confession,5 SP,N/A
Tier 1 - Master,(Master/Stranger) Dark Passenger,5 SP,N/A
Tier 1 - Master,(Master) Hypnodancer,5 SP,N/A
Tier 1 - Master,(Master/Trump) Blank Doll,5 SP,N/A
Tier 1 - Master,(Master/Stranger) Workers,5 SP,N/A
Tier 1 - Master,(Master) Irresistible Dance,5 SP,N/A
Tier 1 - Master,(Master/Thinker) Instinct,6 SP,N/A
Tier 1 - Master,(Master) Ratatouille,6 SP,N/A
Tier 1 - Master,(Master/Brute) Come at Me Bro!,6 SP,N/A
Tier 1 - Master,(Master) Heart Demon,6 SP,N/A
Tier 1 - Master,(Master) Ditto,6 SP,N/A
Tier 1 - Master,(Master) Join The Madness,6 SP,N/A
Tier 1 - Master,(Master) Scarecrow,6 SP,N/A
Tier 1 - Master,(Master) Karma Repayment,6 SP,N/A
Tier 1 - Master,(Master/Brute) Anger Issues,6 SP,N/A
Tier 1 - Master,(Master) In Your Shadow,6 SP,N/A
Tier 1 - Master,(Master/Changer) Incubator,6 SP,N/A
Tier 1 - Master,(Master) Gang Leader,6 SP,N/A
Tier 1 - Master,(Master/Stranger) Fleeting Obsession,6 SP,N/A
Tier 1 - Master,(Master) Red Strings,7 SP,N/A
Tier 1 - Master,(Master) Turn Based RPG,7 SP,N/A
Tier 1 - Master,(Master/Striker) Forget It,7 SP,N/A
Tier 1 - Master,(Master/Thinker) Sandman,7 SP,N/A
Tier 1 - Master,(Master) Spirit Animal,7 SP,N/A
Tier 1 - Master,(Master) Lifestyle Changer,7 SP,N/A
Tier 1 - Master,(Master) Naiad,7 SP,N/A
Tier 1 - Master,(Master/Brute) Emotivore,7 SP,N/A
Tier 1 - Master,(Master/Striker) Pavlov,7 SP,N/A
Tier 1 - Master,(Master/Thinker) Majority Report,7 SP,N/A
Tier 1 - Master,(Master/Trump) Heartmaker,7 SP,N/A
Tier 1 - Master,(Master) Narcissus,7 SP,N/A
Tier 1 - Master,(Master/Stranger) Owe You One,7 SP,N/A
Tier 1 - Master,(Master/Striker) Anti-Addictol,8 SP,N/A
Tier 1 - Master,(Master) Technopathy,8 SP,N/A
Tier 1 - Master,(Master/Thinker) Poison Ivy,8 SP,N/A
Tier 1 - Master,(Master) Clay Servants,8 SP,N/A
Tier 1 - Master,(Master/Striker) Strings,8 SP,N/A
Tier 1 - Master,(Master) Kage no Bunshin,8 SP,N/A
Tier 1 - Master,(Master) Love at First Sight,8 SP,N/A
Tier 1 - Master,(Master) Hero Worship,8 SP,N/A
Tier 1 - Master,(Master/Thinker) Paradox,8 SP,N/A
Tier 1 - Master,(Master/Stranger) Divine,8 SP,N/A
Tier 1 - Master,(Master) Mutant Mob,8 SP,N/A
Tier 1 - Master,(Master/Shaker) Fanatic Loyalty,8 SP,N/A
Tier 1 - Master,(Master) Detached Shadow,9 SP,N/A
Tier 1 - Master,(Master/Striker) Shadow Boxing,9 SP,N/A
Tier 1 - Master,(Master) Scribble,9 SP,N/A
Tier 1 - Master,(Master/Thinker) Skein,9 SP,N/A
Tier 1 - Master,(Master/Trump) Chibi Champion,9 SP,N/A
Tier 1 - Master,(Master) Positive Multiplier,10 SP,N/A
Tier 1 - Master,(Master/Shaker) Logosthesia,10 SP,N/A
Tier 1 - Master,(Master/Thinker) Brain Drain,10 SP,N/A
Tier 1 - Master,(Master/Tinker) Kerbal,10 SP| 4 SP,N/A
Tier 1 - Master,(Master/Striker) Imp Master,10 SP,N/A
Tier 1 - Master,(Master/Mover) Gremlins,10 SP,N/A
